date,Week Start,Week End,Week Number,Shipment,Week Shipment,Teisyoku,Week Teisyoku,Temp,Week Temp,High Temp,Week High Temp,Low Temp,Week Low Temp,AIRTMP,Week AIRTMP,GLBRAD,Week GLBRAD,GLBRAD_30MIN,Week GLBRAD_30MIN,WNDDIR,Week WNDDIR,WNDSPD,Week WNDSPD,RHUM,Week RHUM,Rain,Week Rain,Status,Week Status,year,week_number,Year,diff_median
2018-07-29,2018/7/29 0:00,2018/8/4 0:00,1,0.0,17807.0,0,3784,28.1,205.1,32.3,238.1,25.1,179.9,27.42916667,201.5020833,282.8958333,2148.645833,0.50875,3.865833333,97.5625,1288.895833,2.066666667,11.70208333,81.3125,536.1041667,3.0,3.0,0,0,2018,30,2018,4493.0
2018-07-30,2018/7/29 0:00,2018/8/4 0:00,1,0.0,9076.0,0,3784,28.7,205.1,33.9,238.1,23.4,179.9,27.925,201.5020833,329.125,2148.645833,0.5925,3.865833333,119.0625,1288.895833,2.204166667,11.70208333,77.4375,536.1041667,0.0,3.0,0,0,2018,31,2018,157.5
2018-07-31,2018/7/29 0:00,2018/8/4 0:00,1,0.0,9076.0,0,3784,28.8,205.1,33.6,238.1,25.5,179.9,28.225,201.5020833,310.0,2148.645833,0.558125,3.865833333,194.8125,1288.895833,1.45625,11.70208333,77.125,536.1041667,0.0,3.0,0,0,2018,31,2018,157.5
2018-08-01,2018/7/29 0:00,2018/8/4 0:00,1,0.0,9076.0,0,3784,29.0,205.1,33.1,238.1,25.1,179.9,28.86041667,201.5020833,327.125,2148.645833,0.588333333,3.865833333,265.7291667,1288.895833,1.970833333,11.70208333,72.64583333,536.1041667,0.0,3.0,0,0,2018,31,2018,157.5
2018-08-02,2018/7/29 0:00,2018/8/4 0:00,1,0.0,9076.0,0,3784,30.2,205.1,34.4,238.1,27.6,179.9,29.9375,201.5020833,317.3958333,2148.645833,0.570833333,3.865833333,248.9791667,1288.895833,1.697916667,11.70208333,74.54166667,536.1041667,0.0,3.0,0,0,2018,31,2018,157.5
2018-08-03,2018/7/29 0:00,2018/8/4 0:00,1,0.0,9076.0,1870,3784,30.1,205.1,34.8,238.1,26.0,179.9,29.73541667,201.5020833,296.2916667,2148.645833,0.532916667,3.865833333,193.0416667,1288.895833,1.135416667,11.70208333,77.14583333,536.1041667,0.0,3.0,0,0,2018,31,2018,157.5
2018-08-04,2018/7/29 0:00,2018/8/4 0:00,1,0.0,9076.0,1914,3784,30.2,205.1,36.0,238.1,27.2,179.9,29.38958333,201.5020833,285.8125,2148.645833,0.514375,3.865833333,169.7083333,1288.895833,1.170833333,11.70208333,75.89583333,536.1041667,0.0,3.0,0,0,2018,31,2018,157.5
2018-08-05,2018/8/5 0:00,2018/8/11 0:00,2,0.0,9076.0,0,18230,29.9,208.1,34.0,238.0,26.7,186.2,29.56041667,203.7666667,296.75,1636.6875,0.53375,2.945208333,237.8958333,1241.75,2.4375,19.37708333,71.20833333,502.4583333,0.0,3.0,0,0,2018,31,2018,157.5
2018-08-06,2018/8/5 0:00,2018/8/11 0:00,2,0.0,7230.0,0,18230,30.7,208.1,35.3,238.0,26.4,186.2,29.78333333,203.7666667,255.2291667,1636.6875,0.46,2.945208333,154.1041667,1241.75,1.820833333,19.37708333,75.47916667,502.4583333,2.5,0.0,0,0,2018,32,2018,-1037.5
2018-08-07,2018/8/5 0:00,2018/8/11 0:00,2,0.0,7230.0,0,18230,28.3,208.1,32.6,238.0,26.1,186.2,27.24791667,203.7666667,171.5,1636.6875,0.308333333,2.945208333,59.4375,1241.75,2.741666667,19.37708333,72.83333333,502.4583333,0.0,0.0,0,0,2018,32,2018,-1037.5
2018-08-08,2018/8/5 0:00,2018/8/11 0:00,2,0.0,7230.0,3456,18230,29.5,208.1,33.2,238.0,24.8,186.2,28.74583333,203.7666667,142.5,1636.6875,0.25625,2.945208333,32.5,1241.75,4.327083333,19.37708333,68.22916667,502.4583333,0.0,0.0,0,0,2018,32,2018,-1037.5
2018-08-09,2018/8/5 0:00,2018/8/11 0:00,2,0.0,7230.0,5000,18230,30.1,208.1,34.1,238.0,27.0,186.2,29.53958333,203.7666667,243.4791667,1636.6875,0.438333333,2.945208333,253.5625,1241.75,2.345833333,19.37708333,70.625,502.4583333,0.0,0.0,0,0,2018,32,2018,-1037.5
2018-08-10,2018/8/5 0:00,2018/8/11 0:00,2,0.0,7230.0,3102,18230,29.9,208.1,34.4,238.0,27.9,186.2,29.57291667,203.7666667,280.3958333,1636.6875,0.504583333,2.945208333,248.0625,1241.75,3.425,19.37708333,70.70833333,502.4583333,0.0,0.0,0,0,2018,32,2018,-1037.5
2018-08-11,2018/8/5 0:00,2018/8/11 0:00,2,0.0,7230.0,6672,18230,29.7,208.1,34.4,238.0,27.3,186.2,29.31666667,203.7666667,246.8333333,1636.6875,0.443958333,2.945208333,256.1875,1241.75,2.279166667,19.37708333,73.375,502.4583333,0.5,0.0,0,0,2018,32,2018,-1037.5
2018-08-12,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7230.0,0,14226,27.6,191.0,31.7,223.4,25.7,167.5,27.09791667,188.8,104.0833333,1631.229167,0.187916667,2.9375,144.8125,1389.916667,0.94375,14.4375,87.35416667,523.7708333,3.0,38.5,0,0,2018,32,2018,-1037.5
2018-08-13,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7340.0,0,14226,28.0,191.0,33.5,223.4,25.1,167.5,27.82916667,188.8,162.1666667,1631.229167,0.291875,2.9375,250.6666667,1389.916667,1.46875,14.4375,83.14583333,523.7708333,6.5,38.5,0,0,2018,33,2018,128.5
2018-08-14,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7340.0,0,14226,28.5,191.0,33.7,223.4,25.4,167.5,28.30416667,188.8,294.7916667,1631.229167,0.53125,2.9375,238.4583333,1389.916667,1.904166667,14.4375,77.6875,523.7708333,0.0,38.5,0,0,2018,33,2018,128.5
2018-08-15,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7340.0,2156,14226,27.9,191.0,32.6,223.4,25.2,167.5,27.66041667,188.8,241.8541667,1631.229167,0.435625,2.9375,254.3333333,1389.916667,2.275,14.4375,81.04166667,523.7708333,13.5,38.5,0,0,2018,33,2018,128.5
2018-08-16,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7340.0,3938,14226,28.0,191.0,31.8,223.4,25.1,167.5,27.81041667,188.8,210.1875,1631.229167,0.378333333,2.9375,249.5833333,1389.916667,4.202083333,14.4375,79.54166667,523.7708333,15.5,38.5,0,0,2018,33,2018,128.5
2018-08-17,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7340.0,6468,14226,27.9,191.0,32.0,223.4,22.6,167.5,27.29583333,188.8,294.875,1631.229167,0.530833333,2.9375,136.75,1389.916667,1.814583333,14.4375,58.02083333,523.7708333,0.0,38.5,0,0,2018,33,2018,128.5
2018-08-18,2018/8/12 0:00,2018/8/18 0:00,3,0.0,7340.0,1664,14226,23.1,191.0,28.1,223.4,18.4,167.5,22.80208333,188.8,323.2708333,1631.229167,0.581666667,2.9375,115.3125,1389.916667,1.829166667,14.4375,56.97916667,523.7708333,0.0,38.5,0,0,2018,33,2018,128.5
2018-08-19,2018/8/19 0:00,2018/8/25 0:00,4,0.0,7340.0,0,84298,22.9,190.0,29.3,223.3,16.1,160.9,22.77291667,187.0479167,305.8958333,1682.4375,0.55,3.025416667,114.5208333,1249.625,1.516666667,16.12083333,65.91666667,545.0833333,0.0,61.5,0,0,2018,33,2018,128.5
2018-08-20,2018/8/19 0:00,2018/8/25 0:00,4,0.0,24501.0,0,84298,24.8,190.0,31.5,223.3,20.2,160.9,24.29166667,187.0479167,217.9791667,1682.4375,0.391666667,3.025416667,139.75,1249.625,1.289583333,16.12083333,79.0,545.0833333,2.0,61.5,0,0,2018,34,2018,20745.5
2018-08-21,2018/8/19 0:00,2018/8/25 0:00,4,0.0,24501.0,26164,84298,28.4,190.0,33.4,223.3,23.3,160.9,27.57291667,187.0479167,290.1666667,1682.4375,0.522291667,3.025416667,203.3541667,1249.625,1.454166667,16.12083333,81.16666667,545.0833333,0.0,61.5,0,0,2018,34,2018,20745.5
2018-08-22,2018/8/19 0:00,2018/8/25 0:00,4,0.0,24501.0,6354,84298,29.2,190.0,34.3,223.3,24.8,160.9,28.82708333,187.0479167,294.4791667,1682.4375,0.529375,3.025416667,203.4375,1249.625,1.295833333,16.12083333,73.52083333,545.0833333,0.0,61.5,0,0,2018,34,2018,20745.5
2018-08-23,2018/8/19 0:00,2018/8/25 0:00,4,0.0,24501.0,25072,84298,27.2,190.0,31.1,223.3,23.8,160.9,26.92708333,187.0479167,112.3958333,1682.4375,0.201875,3.025416667,110.6666667,1249.625,0.8625,16.12083333,87.58333333,545.0833333,36.0,61.5,0,0,2018,34,2018,20745.5
2018-08-24,2018/8/19 0:00,2018/8/25 0:00,4,0.0,24501.0,12870,84298,28.3,190.0,31.0,223.3,25.5,160.9,27.7125,187.0479167,179.7916667,1682.4375,0.323125,3.025416667,231.3541667,1249.625,4.420833333,16.12083333,80.64583333,545.0833333,23.5,61.5,0,0,2018,34,2018,20745.5
2018-08-25,2018/8/19 0:00,2018/8/25 0:00,4,0.0,24501.0,13838,84298,29.2,190.0,32.7,223.3,27.2,160.9,28.94375,187.0479167,281.7291667,1682.4375,0.507083333,3.025416667,246.5416667,1249.625,5.28125,16.12083333,77.25,545.0833333,0.0,61.5,0,0,2018,34,2018,20745.5
2018-08-26,2018/8/26 0:00,2018/9/1 0:00,5,0.0,24501.0,0,66832,29.4,201.8,33.4,230.7,26.0,180.4,29.20833333,198.0208333,289.0625,1724.208333,0.520208333,3.10375,286.7708333,1557.583333,2.2625,14.68333333,76.375,535.625,0.0,0.0,0,0,2018,34,2018,20745.5
2018-08-27,2018/8/26 0:00,2018/9/1 0:00,5,0.0,0.0,0,66832,29.4,201.8,34.1,230.7,24.9,180.4,28.8125,198.0208333,299.7916667,1724.208333,0.539791667,3.10375,222.5,1557.583333,1.027083333,14.68333333,78.02083333,535.625,0.0,0.0,0,0,2018,35,2018,-2770.5
2018-08-28,2018/8/26 0:00,2018/9/1 0:00,5,0.0,0.0,22842,66832,28.9,201.8,32.6,230.7,25.9,180.4,27.83541667,198.0208333,189.9166667,1724.208333,0.341458333,3.10375,181.1666667,1557.583333,0.891666667,14.68333333,79.9375,535.625,0.0,0.0,0,0,2018,35,2018,-2770.5
2018-08-29,2018/8/26 0:00,2018/9/1 0:00,5,0.0,0.0,11094,66832,28.5,201.8,33.2,230.7,25.0,180.4,27.50416667,198.0208333,262.8333333,1724.208333,0.473333333,3.10375,119.8541667,1557.583333,1.4625,14.68333333,80.22916667,535.625,0.0,0.0,0,0,2018,35,2018,-2770.5
2018-08-30,2018/8/26 0:00,2018/9/1 0:00,5,0.0,0.0,14764,66832,28.7,201.8,32.4,230.7,25.8,180.4,28.36458333,198.0208333,255.875,1724.208333,0.46125,3.10375,244.625,1557.583333,2.941666667,14.68333333,73.54166667,535.625,0.0,0.0,0,0,2018,35,2018,-2770.5
2018-08-31,2018/8/26 0:00,2018/9/1 0:00,5,0.0,0.0,7854,66832,29.3,201.8,33.8,230.7,27.0,180.4,29.14375,198.0208333,288.2916667,1724.208333,0.518125,3.10375,257.2916667,1557.583333,3.710416667,14.68333333,73.89583333,535.625,0.0,0.0,0,0,2018,35,2018,-2770.5
2018-09-01,2018/8/26 0:00,2018/9/1 0:00,5,0.0,0.0,10278,66832,27.6,201.8,31.2,230.7,25.8,180.4,27.15208333,198.0208333,138.4375,1724.208333,0.249583333,3.10375,245.375,1557.583333,2.3875,14.68333333,73.625,535.625,0.0,0.0,0,0,2018,35,2018,-2770.5
2018-09-02,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,0,30068,24.2,183.5,27.5,211.3,21.3,160.6,23.65,180.8395833,114.7708333,1151.333333,0.207083333,2.071041667,114.2291667,1396.125,1.55,20.74791667,86.8125,571.3958333,23.5,191.0,0,0,2018,35,2018,-2770.5
2018-09-03,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,0,30068,24.8,183.5,30.2,211.3,22.3,160.6,24.27708333,180.8395833,125.75,1151.333333,0.226458333,2.071041667,133.2291667,1396.125,0.760416667,20.74791667,87.83333333,571.3958333,5.5,191.0,0,0,2018,36,2018,0.0
2018-09-04,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,14898,30068,26.4,183.5,30.1,211.3,22.5,160.6,25.80208333,180.8395833,121.125,1151.333333,0.217708333,2.071041667,180.1041667,1396.125,3.010416667,20.74791667,84.97916667,571.3958333,38.0,191.0,0,0,2018,36,2018,0.0
2018-09-05,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,4052,30068,27.6,183.5,30.9,211.3,22.4,160.6,27.21458333,180.8395833,262.5,1151.333333,0.472083333,2.071041667,245.6875,1396.125,5.202083333,20.74791667,76.27083333,571.3958333,29.0,191.0,0,0,2018,36,2018,0.0
2018-09-06,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,3748,30068,27.4,183.5,31.4,211.3,24.8,160.6,26.92708333,180.8395833,209.1666667,1151.333333,0.375833333,2.071041667,244.9583333,1396.125,3.483333333,20.74791667,69.08333333,571.3958333,0.0,191.0,0,0,2018,36,2018,0.0
2018-09-07,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,4114,30068,26.3,183.5,31.0,211.3,23.2,160.6,26.21666667,180.8395833,160.4166667,1151.333333,0.288541667,2.071041667,247.3541667,1396.125,3.55,20.74791667,83.91666667,571.3958333,50.5,191.0,0,0,2018,36,2018,0.0
2018-09-08,2018/9/2 0:00,2018/9/8 0:00,6,0.0,0.0,3256,30068,26.8,183.5,30.2,211.3,24.1,160.6,26.75208333,180.8395833,157.6041667,1151.333333,0.283333333,2.071041667,230.5625,1396.125,3.191666667,20.74791667,82.5,571.3958333,44.5,191.0,0,0,2018,36,2018,0.0
2018-09-09,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,0,6500,26.9,160.8,31.9,186.3,23.8,160.6,26.82083333,158.9145833,256.25,1002.166667,0.46125,1.801666667,225.7291667,849.6875,2.316666667,12.19375,78.35416667,593.5625,16.5,93.0,0,0,2018,36,2018,0.0
2018-09-10,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,0,6500,24.2,160.8,30.1,186.3,22.3,140.0,24.05416667,158.9145833,147.5,1002.166667,0.265208333,1.801666667,155.9791667,849.6875,1.339583333,12.19375,91.6875,593.5625,52.5,93.0,0,0,2018,37,2018,0.0
2018-09-11,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,3222,6500,23.0,160.8,25.7,186.3,21.1,140.0,22.52291667,158.9145833,128.875,1002.166667,0.231458333,1.801666667,68.66666667,849.6875,2.36875,12.19375,77.75,593.5625,0.0,93.0,0,0,2018,37,2018,0.0
2018-09-12,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,0,6500,21.7,160.8,25.6,186.3,18.3,140.0,21.43333333,158.9145833,193.5625,1002.166667,0.347916667,1.801666667,43.97916667,849.6875,3.55625,12.19375,69.125,593.5625,2.0,93.0,0,0,2018,37,2018,0.0
2018-09-13,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,0,6500,22.1,160.8,27.2,186.3,16.9,140.0,21.86041667,158.9145833,164.2708333,1002.166667,0.295416667,1.801666667,111.1458333,849.6875,1.147916667,12.19375,82.47916667,593.5625,0.0,93.0,0,0,2018,37,2018,0.0
2018-09-14,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,3278,6500,21.7,160.8,23.4,186.3,20.5,140.0,21.44583333,158.9145833,53.29166667,1002.166667,0.095625,1.801666667,111.9791667,849.6875,0.78125,12.19375,95.625,593.5625,12.0,93.0,0,0,2018,37,2018,0.0
2018-09-15,2018/9/9 0:00,2018/9/15 0:00,7,0.0,0.0,0,6500,21.2,160.8,22.4,186.3,20.2,140.0,20.77708333,158.9145833,58.41666667,1002.166667,0.104791667,1.801666667,132.2083333,849.6875,0.683333333,12.19375,98.54166667,593.5625,10.0,93.0,0,0,2018,37,2018,0.0
2018-09-16,2018/9/16 0:00,2018/9/22 0:00,8,0.0,0.0,0,0,22.9,160.8,25.2,187.8,20.7,140.3,22.21041667,157.60625,71.0,1017.270833,0.127916667,1.830833333,171.625,913.7916667,0.520833333,7.908333333,94.70833333,606.125,2.0,26.0,0,0,2018,37,2018,0.0
2018-09-17,2018/9/16 0:00,2018/9/22 0:00,8,0.0,0.0,0,0,26.4,160.8,32.4,187.8,21.8,140.3,25.58958333,157.60625,237.5208333,1017.270833,0.426875,1.830833333,151.4166667,913.7916667,1.035416667,7.908333333,79.875,606.125,0.0,26.0,0,0,2018,38,2018,-78.5
2018-09-18,2018/9/16 0:00,2018/9/22 0:00,8,0.0,0.0,0,0,25.0,160.8,29.3,187.8,22.1,140.3,24.33541667,157.60625,215.6666667,1017.270833,0.388125,1.830833333,117.6875,913.7916667,1.24375,7.908333333,78.35416667,606.125,0.0,26.0,0,0,2018,38,2018,-78.5
2018-09-19,2018/9/16 0:00,2018/9/22 0:00,8,0.0,0.0,0,0,23.8,160.8,29.1,187.8,20.1,140.3,23.21041667,157.60625,249.4166667,1017.270833,0.449166667,1.830833333,103.2916667,913.7916667,1.925,7.908333333,68.33333333,606.125,0.0,26.0,0,0,2018,38,2018,-78.5
2018-09-20,2018/9/16 0:00,2018/9/22 0:00,8,0.0,0.0,0,0,19.8,160.8,22.8,187.8,18.0,140.3,19.84583333,157.60625,62.45833333,1017.270833,0.1125,1.830833333,68.75,913.7916667,1.420833333,7.908333333,92.0,606.125,15.5,26.0,0,0,2018,38,2018,-78.5
